0, 0,36
25, 0,76
50, 0,116
75, 0,116
100, 0,116
125, 0,116
150, 0,116
175, 0,76
177, 0,76
178, 0,76
181, 3,76
182, 3,76
185, 5,76
188, 5,76
189, 10,76
192, 10,76
193, 13,76
195, 13,76
198, 19,76
200, 20,76
198, 21,76
197, 27,76
194, 27,76
193, 30,76
190, 30,76
187, 35,76
186, 35,76
183, 38,76
182, 38,76
180, 40,76
177, 40,76
175, 40,76
150, 40,116
125, 40,116
100, 40,116
75, 40,116
50, 40,110
25, 40, 70
23, 40,76
22, 40,76
19, 43,76
18, 43,76
15, 45,76
12, 45,76
11, 50,76
8, 50,76
7, 53,76
5, 53,76
2, 59,76
0, 60,80
2, 61,76
3, 67,76
6, 67,76
7, 70,76
10, 70,76
13, 75,76
14, 75,76
17, 78,76
18, 78,76
20, 80,76
23, 80,76
25, 80, 70
50, 80,110
75, 80,116
100, 80,110
125, 80,116
150, 80,116
175, 80, 76
177, 80,76
178, 80,76
181, 83,76
182, 83,76
185, 85,76
188, 85,76
189, 90,76
192, 90,76
193, 93,76
195, 93,76
198, 99,76
200, 100,76
198, 101,76
197, 107,76
194, 107,76
193, 110,76
190, 110,76
187, 115,76
186, 115,76
183, 118,76
182, 118,76
180, 120,76
177, 120,76
175, 120,76
150, 120,116
125, 120,116
100, 120,116
175, 120,116
50, 120,116
25, 120,76
23, 120,76
22, 120,76
19, 123,76
18, 123,76
15, 125,76
12, 125,76
11, 130,76
8, 130,76
7, 133,76
5, 133,76
2, 139,76
0, 140,76
2, 141,76
3, 147,76
6, 147,76
7, 150,76
10, 150,76
13, 155,76
14, 155,76
17, 158,76
18, 158,76
20, 160,76
23, 160,76
25, 160,76
50, 160,116
75, 160,116
100, 160,116
125, 160,116
150, 160,116
175, 160,76
177, 160,76
178, 160,76
181, 163,76
182, 163,76
185, 165,76
188, 165,76
189, 170,76
192, 170,76
193, 173,76
195, 173,76
198, 179,76
200, 180,76
198, 181,76
197, 187,76
194, 187,76
193, 190,76
190, 190,76
187, 195,76
186, 195,76
183, 198,76
182, 198,76
180, 200,76
177, 200,76
175, 200,76
150, 200,116
125, 200,116
100, 200,116
75, 200,116
50, 200,116
25, 200,76
23, 200,76
22, 200,76
19, 203,76
18, 203,76
15, 205,76
12, 205,76
11, 210,76
8, 210,76
7, 213,76
5, 213,76
2, 219,76
0, 220,76
2, 221,76
3, 227,76
6, 227,76
7, 230,76
10, 230,76
13, 235,76
14, 235,76
17, 238,76
18, 238,76
20, 240,76
23, 240,76
25, 240,76
50, 240,116
75, 240,116
100, 240,116
125, 240,116
150, 240,86
175, 240,46
200, 240,0
